Mon Nov 30 12:24:44 2020
Joystick Mode (120s)
{'Time': 9647, 'Left_wheel_dist': -6, 'Right_wheel_dist': 0, 'IMU_roll': -0.04, 'IMU_pitch': 0.04, 'IMU_yaw': 5.79, 'IMU_Acc_x': 0.64, 'IMU_Acc_y': -0.19, 'IMU_Acc_z': 9.87, 'Loop_dt': 23, 'Acc_Accu': 1135}
{'Time': 15351, 'Left_wheel_dist': -2096, 'Right_wheel_dist': -1950, 'IMU_roll': -0.08, 'IMU_pitch': 0.04, 'IMU_yaw': 5.38, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': -0.77, 'IMU_Acc_z': 9.85, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 15455, 'Left_wheel_dist': -2149, 'Right_wheel_dist': -1977, 'IMU_roll': -0.07, 'IMU_pitch': 0.05, 'IMU_yaw': 5.34, 'IMU_Acc_x': 0.54, 'IMU_Acc_y': -0.68, 'IMU_Acc_z': 9.80, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 15558, 'Left_wheel_dist': -2198, 'Right_wheel_dist': -1999, 'IMU_roll': -0.07, 'IMU_pitch': 0.05, 'IMU_yaw': 5.29, 'IMU_Acc_x': 0.59, 'IMU_Acc_y': -0.66, 'IMU_Acc_z': 10.01, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 15662, 'Left_wheel_dist': -2253, 'Right_wheel_dist': -2014, 'IMU_roll': -0.08, 'IMU_pitch': 0.04, 'IMU_yaw': 5.23, 'IMU_Acc_x': 0.43, 'IMU_Acc_y': -0.82, 'IMU_Acc_z': 9.88, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 15752, 'Left_wheel_dist': -2300, 'Right_wheel_dist': -2027, 'IMU_roll': -0.05, 'IMU_pitch': 0.04, 'IMU_yaw': 5.17, 'IMU_Acc_x': 0.51, 'IMU_Acc_y': -0.38, 'IMU_Acc_z': 9.83, 'Loop_dt': 24, 'Acc_Accu': 5}
{'Time': 15856, 'Left_wheel_dist': -2355, 'Right_wheel_dist': -2043, 'IMU_roll': -0.04, 'IMU_pitch': 0.04, 'IMU_yaw': 5.10, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': -0.30, 'IMU_Acc_z': 9.66, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 15961, 'Left_wheel_dist': -2406, 'Right_wheel_dist': -2056, 'IMU_roll': -0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 5.03, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 10.08, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 16064, 'Left_wheel_dist': -2461, 'Right_wheel_dist': -2074, 'IMU_roll': -0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 4.97, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.78, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 16155, 'Left_wheel_dist': -2506, 'Right_wheel_dist': -2089, 'IMU_roll': -0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 4.92, 'IMU_Acc_x': 0.15, 'IMU_Acc_y': -0.21, 'IMU_Acc_z': 9.93, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 16260, 'Left_wheel_dist': -2563, 'Right_wheel_dist': -2107, 'IMU_roll': -0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 4.86, 'IMU_Acc_x': 0.11, 'IMU_Acc_y': -0.19, 'IMU_Acc_z': 9.77, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 16363, 'Left_wheel_dist': -2616, 'Right_wheel_dist': -2127, 'IMU_roll': -0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 4.80, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 10.06, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 16454, 'Left_wheel_dist': -2665, 'Right_wheel_dist': -2145, 'IMU_roll': -0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 4.75, 'IMU_Acc_x': 0.24, 'IMU_Acc_y': -0.16, 'IMU_Acc_z': 9.99, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 16559, 'Left_wheel_dist': -2723, 'Right_wheel_dist': -2162, 'IMU_roll': -0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 4.69, 'IMU_Acc_x': 0.29, 'IMU_Acc_y': -0.13, 'IMU_Acc_z': 9.98, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 16663, 'Left_wheel_dist': -2778, 'Right_wheel_dist': -2182, 'IMU_roll': -0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 4.63, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.80, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 16754, 'Left_wheel_dist': -2829, 'Right_wheel_dist': -2200, 'IMU_roll': -0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 4.58, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 10.01, 'Loop_dt': 24, 'Acc_Accu': 5}
{'Time': 16859, 'Left_wheel_dist': -2882, 'Right_wheel_dist': -2222, 'IMU_roll': -0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 4.52, 'IMU_Acc_x': 0.47, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.91, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 16963, 'Left_wheel_dist': -2937, 'Right_wheel_dist': -2242, 'IMU_roll': -0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 4.46, 'IMU_Acc_x': 0.09, 'IMU_Acc_y': -0.14, 'IMU_Acc_z': 9.82, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 17054, 'Left_wheel_dist': -2986, 'Right_wheel_dist': -2262, 'IMU_roll': -0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 4.41, 'IMU_Acc_x': 0.36, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 10.03, 'Loop_dt': 24, 'Acc_Accu': 5}
{'Time': 17159, 'Left_wheel_dist': -3044, 'Right_wheel_dist': -2282, 'IMU_roll': 0.00, 'IMU_pitch': 0.02, 'IMU_yaw': 4.36, 'IMU_Acc_x': 0.26, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.73, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 17263, 'Left_wheel_dist': -3097, 'Right_wheel_dist': -2309, 'IMU_roll': 0.09, 'IMU_pitch': 0.01, 'IMU_yaw': 4.34, 'IMU_Acc_x': -0.10, 'IMU_Acc_y': 0.97, 'IMU_Acc_z': 9.79, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 17353, 'Left_wheel_dist': -3148, 'Right_wheel_dist': -2340, 'IMU_roll': 0.05, 'IMU_pitch': 0.02, 'IMU_yaw': 4.34, 'IMU_Acc_x': 0.03, 'IMU_Acc_y': 0.51, 'IMU_Acc_z': 9.94, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 17458, 'Left_wheel_dist': -3199, 'Right_wheel_dist': -2379, 'IMU_roll': 0.06, 'IMU_pitch': 0.02, 'IMU_yaw': 4.34, 'IMU_Acc_x': 0.10, 'IMU_Acc_y': 0.64, 'IMU_Acc_z': 9.91, 'Loop_dt': 25, 'Acc_Accu': 6}
{'Time': 17562, 'Left_wheel_dist': -3254, 'Right_wheel_dist': -2426, 'IMU_roll': 0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 4.34, 'IMU_Acc_x': 0.12, 'IMU_Acc_y': 0.35, 'IMU_Acc_z': 10.06, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 17667, 'Left_wheel_dist': -3309, 'Right_wheel_dist': -2481, 'IMU_roll': 0.04, 'IMU_pitch': -0.04, 'IMU_yaw': 4.33, 'IMU_Acc_x': -0.45, 'IMU_Acc_y': 0.34, 'IMU_Acc_z': 9.69, 'Loop_dt': 25, 'Acc_Accu': 6}
{'Time': 17757, 'Left_wheel_dist': -3365, 'Right_wheel_dist': -2534, 'IMU_roll': 0.04, 'IMU_pitch': -0.04, 'IMU_yaw': 4.36, 'IMU_Acc_x': -0.81, 'IMU_Acc_y': 0.46, 'IMU_Acc_z': 10.14, 'Loop_dt': 24, 'Acc_Accu': 5}
{'Time': 17859, 'Left_wheel_dist': -3433, 'Right_wheel_dist': -2596, 'IMU_roll': 0.03, 'IMU_pitch': -0.02, 'IMU_yaw': 4.37, 'IMU_Acc_x': -0.57, 'IMU_Acc_y': 0.39, 'IMU_Acc_z': 9.48, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 17961, 'Left_wheel_dist': -3506, 'Right_wheel_dist': -2669, 'IMU_roll': 0.02, 'IMU_pitch': -0.04, 'IMU_yaw': 4.37, 'IMU_Acc_x': -0.34, 'IMU_Acc_y': 0.52, 'IMU_Acc_z': 9.68, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 18063, 'Left_wheel_dist': -3586, 'Right_wheel_dist': -2745, 'IMU_roll': 0.03, 'IMU_pitch': -0.03, 'IMU_yaw': 4.38, 'IMU_Acc_x': -0.42, 'IMU_Acc_y': 0.27, 'IMU_Acc_z': 10.00, 'Loop_dt': 23, 'Acc_Accu': 6}
